Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
8000,0.0,0.4599774479866028,0.5649999976158142,0.46000000834465027,0.5649999976158142,0.5018139047232155,0.494670408177694,0.5018388049240445,0.4946831898054145
8000,500,0.39973838813602924,0.41104268961482576,0.5063749942928553,0.5067777726385329,0.5012694737487351,0.5066577428755356,0.5013563314486121,0.5069485478744726
8000,1000,0.23946732208132743,0.2906959229045444,0.5133749965578318,0.4947777761353387,0.41309923629498824,0.43719271913679847,0.48954072360189715,0.5013861506538242
8000,2000,0.22433765679597856,0.22519193589687347,0.4836249977350235,0.4988888872994317,0.26567951616782354,0.27935041229352675,0.4864106308925084,0.4995373131825492
8000,4000,0.20491607375442983,0.2151681664917204,0.4777499970048666,0.49788888494173683,0.20531662839337153,0.21151146786079192,0.4665610524867899,0.49835159930321904
8000,8000,0.18745306711643933,0.18871159586641523,0.46562499590218065,0.4919999990198347,0.18284465135841055,0.21804178046363135,0.44272075287897805,0.4957332078128405
8000,16000,0.1649373646825552,0.18425055311785804,0.40987499989569187,0.49455555809868706,0.15184899186377712,0.20236255012753346,0.3464194736712059,0.4949771101560442
8000,32000,0.048890537093393506,0.33804545667436386,0.0814999999012798,0.5025555551052093,0.041403760215009994,0.36228291245909666,0.06971492070081627,0.4974407030447675
8000,64000,0.019033104571281,0.3750551740328471,0.03062499959487468,0.4931111097335815,0.01736106166910906,0.39457091284240314,0.029220357453082105,0.49964356481311734























