Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
50,0.0,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.44103978008031847,0.4508992826938629,0.4410799979865551,0.4509199896752834
50,3,0.4000149965286255,0.4234487533569336,0.4000000059604645,0.4239999890327454,0.44401681656103126,0.4589708295936746,0.44502604592868966,0.460111500935816
50,6,0.4385336935520172,0.4824885904788971,0.4399999976158142,0.48199999928474424,0.3734984099900032,0.39849231597927554,0.37459595184805355,0.39973591619872506
50,12,0.5,0.47569717168807985,0.5,0.4759999930858612,0.2862112585392717,0.33906449158194646,0.287347975432075,0.3403522303118003
50,25,0.1599999964237213,0.1843557670712471,0.1599999964237213,0.185999995470047,0.18193164452127308,0.2382348583339035,0.1830294205859381,0.23953899796758163
50,50,0.061209965497255325,0.18839538097381592,0.05999999865889549,0.19000000059604644,0.0916015661271241,0.16191111270679934,0.09238899890467044,0.16316871271475009
50,100,0.04250629246234894,0.12233075350522996,0.03999999910593033,0.12399999797344208,0.031524370570253535,0.11499019103086551,0.03205319370124466,0.11626035277656865
50,200,0.0017888079164549708,0.07956602424383163,0.0,0.08199999928474426,0.0024776943882657077,0.10364390047189119,0.0025985564376867754,0.10492715263459229
50,400,4.825017718701474e-09,0.11248598545789719,0.0,0.11400000005960464,0.0005735618913605811,0.11140732765779725,0.0003551848596786367,0.11380164726656251

Summary:,"The LMC has been run with the following parameters:
  - Device: cpu
  - Loss function: SAVAGE
  - l_max: 4.0
  - Network architecture: FCN1L
  - Number of hidden layers: 1
  - Width of hidden layers: 100
  - Dataset type: synth
  - Random labels: False
  - Training set size: 50
  - Test set size: 500
  - Minimum epochs: 2000
  - Number of Batches: 1
  - Beta values: [0.0, 3, 6, 12, 25, 50, 100, 200, 400]
  - Learning rate (a0): 0.3
  - Learning rate decay (b): 0.5
  - Gaussian prior sigma: 5.0
 -  alpha_average: 0.01
 -  alpha_stop: 5e-05
 -  eta: 36
 -  eps: 1e-07
 -  Gradient norm: [0.002770212526013363, 0.5455256674387446, 0.27952233818940847, 0.18568758233339097, 0.1375932333544951, 0.09526329736897807, 0.07159906695170136, 0.043665016903362615, 0.03955302675545924]
 -  Number of epochs per beta: [1000, 7103, 12746, 14570, 26104, 50180, 58728, 80360, 76974]
 -  Variance of EMA Train BCE losses: [6.419792108303124e-05, 0.020244298620423484, 0.01889289418836429, 0.013025910586875022, 0.007049151548460239, 0.003334548839985128, 0.0005127005253302203, 4.5095059872646054e-05, 2.072068626869684e-06]
 -  Variance of EMA Test BCE losses: [3.404716740293412e-05, 0.016009852856694123, 0.015703668779490254, 0.013343851765376114, 0.008397884221765392, 0.0038962091056082768, 0.0019250441015725948, 0.0014934169057018356, 0.001313372965384963]
"
