Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
2000,0.0,0.5499994158744812,0.5352510809898376,0.550000011920929,0.5352500081062317,0.4995605450570583,0.5011830941736698,0.49959199905395507,0.501211750537157
2000,125,0.3079656958580017,0.3297269940376282,0.30799999833106995,0.33034918705622357,0.30196030776909477,0.3227453540890036,0.3024440067415895,0.32324874383237107
2000,250,0.2395353466272354,0.2912589907646179,0.24050000309944153,0.29217787583669025,0.2530164410468572,0.30653936333458226,0.2546679523596781,0.30830568562630045
2000,500,0.1755475401878357,0.20636242628097534,0.17649999260902405,0.20768925050894418,0.17473589806349657,0.21504137633474246,0.17640085758752982,0.21691508112323296
2000,1000,0.12860555946826935,0.1869943936665853,0.12950000166893005,0.18869690100351968,0.12612475329780523,0.18782583139554535,0.1280971384524653,0.1902023524725442
2000,2000,0.06752219796180725,0.1450667828321457,0.06949999928474426,0.14792917172114053,0.07695613409017252,0.1511110986725791,0.08018622832980157,0.15602361334396161
2000,4000,0.0360378734767437,0.12508657574653625,0.03700000047683716,0.13212616741657257,0.041310268957411654,0.12195675691296898,0.04501295840688798,0.13109905557185847
2000,8000,0.011659886687994003,0.11396392186482747,0.013500000350177288,0.12510964771111807,0.01477904505707531,0.10736181082245592,0.016377589259308004,0.12282979983586763
2000,16000,0.0059413728304207325,0.10484178860982259,0.004999999888241291,0.11964688450098038,0.006400897850310627,0.0946687368883342,0.004597348021309686,0.1125340126273399

Summary:,"The LMC has been run with the following parameters:
  - Device: cpu
  - Loss function: SAVAGE
  - l_max: 4.0
  - Network architecture: FCN1L
  - Number of hidden layers: 1
  - Width of hidden layers: 500
  - Dataset type: mnist
  - Random labels: False
  - Training set size: 2000
  - Test set size: 9786
  - Minimum epochs: 500
  - Number of Batches: 1
  - Beta values: [0.0, 125, 250, 500, 1000, 2000, 4000, 8000, 16000]
  - Learning rate (a0): 0.01
  - Learning rate decay (b): 0.5
  - Gaussian prior sigma: 5.0
 -  alpha_average: 0.01
 -  alpha_stop: 0.00025
 -  eta: 0.1
 -  eps: 1e-07
 -  Gradient norm: [0.030645913983635167, 0.33872226747944184, 0.21443732451864722, 0.18533082923826366, 0.17017986665564241, 0.16172654369581888, 0.13641341310390012, 0.10447029938987798, 0.06436485160754797]
 -  Number of epochs per beta: [1000, 17136, 9982, 17722, 23801, 24819, 23074, 22980, 26282]
 -  Variance of EMA Train BCE losses: [0.00141107999769019, 0.00014361392646884685, 0.000184595809262722, 5.839089094088201e-05, 2.6992752906150608e-05, 2.981688785188511e-05, 6.4168245141999446e-06, 5.0314723078827045e-06, 1.5586728497543414e-06]
 -  Variance of EMA Test BCE losses: [0.0013744821599653845, 0.00017040746470547985, 0.00021159613760576845, 0.00013808965943327284, 0.00015472098760292707, 5.050137349220038e-05, 4.728843920326353e-05, 2.5046273160855836e-05, 6.937140940205602e-05]
"
