Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
8000,0.0,0.4966250013560057,0.5025894368181423,0.4966249965131283,0.5025894161389799,0.5006547852812635,0.4994249177960785,0.5006552009867405,0.4994252454991005
8000,500,0.49793933555483816,0.4949146795029543,0.49824999906122686,0.4949517189239969,0.4986451450080623,0.5045267159331384,0.49906423917795334,0.5049932071190343
8000,1000,0.43081419728696346,0.4859668448263285,0.46312499679625035,0.5061784064283177,0.46735304833242236,0.49097604524808375,0.47156066500610133,0.49546260779193674
8000,2000,0.3112426854670048,0.38308793367171773,0.43174999989569185,0.5030996245997292,0.38646290575557424,0.47450754101205994,0.4143627904747555,0.5049710809863625
8000,4000,0.2144669469445944,0.2676371834716018,0.4011249989271164,0.502125301531383,0.2388227000693869,0.36649803051602686,0.34598994028834024,0.5013864715135314
8000,8000,0.16090986775234342,0.2769082215975742,0.3242500018328428,0.5017654117272825,0.1474227046253254,0.3329047078433427,0.2659433144833945,0.5065544777815115
8000,16000,0.13708500135689974,0.2466605257014839,0.2889999995008111,0.49602589072013387,0.1072608065171182,0.28426405745148847,0.20954714863833476,0.507146503296763
8000,32000,0.10136030605062843,0.23467628505765176,0.19312499933876098,0.5029032254705623,0.07467372472551712,0.31355508424716627,0.13454823916895045,0.5042470755016474
8000,64000,0.10674253217875958,0.22655117207643938,0.20224999990314246,0.4997728734600301,0.07009416817303975,0.2812316879148334,0.11430294420163747,0.4992443577634332












