Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
8000,0.0,0.5405659675598145,0.5406876802444458,0.5406249761581421,0.540772557258606,0.49909805376719835,0.5032746861922889,0.49913319132787837,0.5033077984035897
8000,500,0.19203415513038635,0.20286501944065094,0.19425000250339508,0.20478233695030212,0.19248397699197525,0.20490670484300383,0.1945134468299815,0.2069240830360813
8000,1000,0.1728622019290924,0.18299342691898346,0.17687499523162842,0.18802370131015778,0.17113999141695724,0.18406834860303342,0.175911582085197,0.18950131696862643
8000,2000,0.11105751246213913,0.13305722177028656,0.1172500029206276,0.13938279449939728,0.11109584179336619,0.1339253965042381,0.11705045191149119,0.14082505059800515
8000,4000,0.0769815519452095,0.10401621460914612,0.08537500351667404,0.11434702575206757,0.0765613789767455,0.10379710653679501,0.0853471414755298,0.11446256646542712
8000,8000,0.0531594343483448,0.07743962109088898,0.060750000178813934,0.0898221954703331,0.05282061053384729,0.07778889101804151,0.06151626825502796,0.09078097635143766
8000,16000,0.032588325440883636,0.06238354742527008,0.03737499937415123,0.07766196876764297,0.032156872804195644,0.06214431746324758,0.037473860332224565,0.07720617744980894
8000,32000,0.017768213525414467,0.0536421500146389,0.020500000566244125,0.06979358196258545,0.01760579491458133,0.05336061189472012,0.019658151601673418,0.0686361708044072

Summary:,"The LMC has been run with the following parameters:
  - Device: cpu
  - Loss function: SAVAGE
  - l_max: 4.0
  - Network architecture: FCN1L
  - Number of hidden layers: 1
  - Width of hidden layers: 500
  - Dataset type: mnist
  - Random labels: False
  - Training set size: 8000
  - Test set size: 9786
  - Minimum epochs: 4000
  - Number of Batches: 1
  - Beta values: [0.0, 500, 1000, 2000, 4000, 8000, 16000, 32000]
  - Learning rate (a0): 0.01
  - Learning rate decay (b): 0.5
  - Gaussian prior sigma: 5
 -  alpha_average: 0.01
 -  alpha_stop: 0.00025
 -  eta: 0.1
 -  eps: 1e-07
 -  Gradient norm: [[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]
"
