Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
2000,0.0,1.4798378944396973,1.4865376949310303,0.550000011920929,0.5412499904632568,2.142028010307714,2.1481301241592576,0.49841627467187694,0.5003030534528895
2000,125,0.549473226070404,0.601427435874939,0.226500004529953,0.24831718703111014,0.5837149252536702,0.6825984521213554,0.24973481936294195,0.2923970397831467
2000,250,0.4358871877193451,0.542235533396403,0.18700000643730164,0.2215548704067866,0.4362298006849444,0.5429878451464248,0.1874057615295868,0.22470168717927652
2000,500,0.34522736072540283,0.43825118740399677,0.14350000023841858,0.18745996554692587,0.3411963836181898,0.44914892496379166,0.14148361708422588,0.18893129955610893
2000,1000,0.25724318623542786,0.38389941056569415,0.10300000011920929,0.15028247237205505,0.2523936863971627,0.37651144216719845,0.10091407146288463,0.15112360556389717
2000,2000,0.14772777259349823,0.29983041683832806,0.05849999934434891,0.11566069473822911,0.15228372575183102,0.3121660836698041,0.05935876566758338,0.12056138836213935
2000,4000,0.08346424251794815,0.2985938489437103,0.025499999523162842,0.10854087273279826,0.08263345723946962,0.29624440284331105,0.025370862437373364,0.10706682812091711
2000,8000,0.0377335362136364,0.28141653537750244,0.005499999970197678,0.09138531237840652,0.03771040380995353,0.27935143198163154,0.004669992083920609,0.0926419230112285
2000,16000,0.01777753047645092,0.27757082382837933,0.0,0.0870154897371928,0.01772464003726982,0.27510522907817864,0.00011449554631686881,0.08652750186701541

Summary:,"The LMC has been run with the following parameters:
  - Device: cpu
  - Loss function: BCE
  - l_max: 4.0
  - Network architecture: FCN1L
  - Number of hidden layers: 1
  - Width of hidden layers: 500
  - Dataset type: mnist
  - Random labels: False
  - Training set size: 2000
  - Test set size: 9786
  - Minimum epochs: 4000
  - Number of Batches: 1
  - Beta values: [0.0, 125, 250, 500, 1000, 2000, 4000, 8000, 16000]
  - Learning rate (a0): 0.01
  - Learning rate decay (b): 0.5
  - Gaussian prior sigma: 0.1
 -  alpha_average: 0.01
 -  alpha_stop: 0.00025
 -  eta: 0.1
 -  eps: 1e-07
 -  Gradient norm: [[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]
"
