Sample_size,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
8000,0.0,0.5000765919685364,0.5062215328216553,0.500249981880188,0.5062333941459656,0.4979654529080564,0.49900550685567846,0.49799623963904455,0.4990378064443759
8000,500,0.48707735538482666,0.49382898211479187,0.4911249876022339,0.4980584383010864,0.4865959570090374,0.49437647502116794,0.4906879988206662,0.49833000926767596
8000,1000,0.46052104234695435,0.49809107184410095,0.468625009059906,0.5066421627998352,0.45928496233716354,0.49862837257362747,0.46793528776855053,0.5068539437790354
8000,2000,0.4169984757900238,0.4627186357975006,0.4573749899864197,0.5050071477890015,0.4165507893291647,0.46160653363127313,0.4574101170157689,0.5033426372316413
8000,4000,0.3396403193473816,0.4084172546863556,0.41975000500679016,0.5027590394020081,0.3382585972530336,0.40709796060578063,0.4222983969023081,0.5025421079936507
8000,8000,0.27474287152290344,0.3426639437675476,0.4078750014305115,0.5025546550750732,0.27545568699128226,0.3423513035312298,0.4095128753287855,0.5049059942025574
8000,16000,0.2347216159105301,0.32706186175346375,0.36399999260902405,0.5130798816680908,0.23456654386161238,0.3264277643151934,0.36304153987055254,0.5105359254679166
8000,32000,0.10784758627414703,0.42316120862960815,0.13387499749660492,0.5048027634620667,0.10798579200501357,0.4229148494931205,0.1329390230566979,0.5033982874360879

Summary:,"The LMC has been run with the following parameters:
  - Device: cpu
  - Loss function: SAVAGE
  - l_max: 4.0
  - Network architecture: FCN1L
  - Number of hidden layers: 1
  - Width of hidden layers: 500
  - Dataset type: mnist
  - Random labels: True
  - Training set size: 8000
  - Test set size: 9786
  - Minimum epochs: 4000
  - Number of Batches: 1
  - Beta values: [0.0, 500, 1000, 2000, 4000, 8000, 16000, 32000]
  - Learning rate (a0): 0.01
  - Learning rate decay (b): 0.5
  - Gaussian prior sigma: 5
 -  alpha_average: 0.01
 -  alpha_stop: 0.00025
 -  eta: 0.1
 -  eps: 1e-07
 -  Gradient norm: [[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]
"
