Index,Beta,BCE_Train,BCE_Test,0-1_Train,0-1_Test,EMA_BCE_Train,EMA_BCE_Test,EMA_0-1_Train,EMA_0-1_Test
0,0.0,0.17081977427005768,0.17054037749767303,0.5,0.5059999823570251,0.9585409887135029,0.9585270188748837,0.9750000000000001,0.9752999991178513
1,250,0.41678890585899353,0.4953754246234894,0.41850000619888306,0.4975000023841858,0.4124093013839155,0.4924119699817312,0.41411160270519515,0.4944673580659248
2,500,0.31080684065818787,0.49573975801467896,0.3160000145435333,0.5,0.30763269450903424,0.4954434270451002,0.31325384225274633,0.5005939227513035
3,1000,0.22613324224948883,0.46640637516975403,0.2434999942779541,0.4819999933242798,0.19091813054977821,0.46432261428991695,0.2043242260580992,0.47794242863678954
4,2000,0.11936317384243011,0.47134220600128174,0.15700000524520874,0.4984999895095825,0.09222443844738043,0.4620544781319864,0.11922270179953176,0.49546117365391384
5,4000,0.09995589405298233,0.44974029064178467,0.16949999332427979,0.5065000057220459,0.04231518501557605,0.45266721816067873,0.07202197776573381,0.5142489173574315
